PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"18777925","Novel approach for the Monte Carlo calculation of free-air chamber correction factors","Mainegra-Hing E, Reynaert N, Kawrakow I.","Med Phys. 2008 Aug;35(8):3650-60. doi: 10.1118/1.2955551.","Mainegra-Hing E","Med Phys","2008","2008/09/10","","","10.1118/1.2955551"
"18777924","Rigid model-based 3D segmentation of the bones of joints in MR and CT images for motion analysis","Liu J, Udupa JK, Saha PK, Odhner D, Hirsch BE, Siegler S, Simon S, Winkelstein BA.","Med Phys. 2008 Aug;35(8):3637-49. doi: 10.1118/1.2953567.","Liu J","Med Phys","2008","2008/09/10","PMC2809710","","10.1118/1.2953567"
"18777923","Automated breast mass detection in 3D reconstructed tomosynthesis volumes: a featureless approach","Singh S, Tourassi GD, Baker JA, Samei E, Lo JY.","Med Phys. 2008 Aug;35(8):3626-36. doi: 10.1118/1.2953562.","Singh S","Med Phys","2008","2008/09/10","PMC2673649","","10.1118/1.2953562"
"18777922","Consequences of modern anthropometric dimensions for radiographic techniques and patient radiation exposures","Shah C, Jones AK, Willis CE.","Med Phys. 2008 Aug;35(8):3616-25. doi: 10.1118/1.2952361.","Shah C","Med Phys","2008","2008/09/10","PMC4034413","","10.1118/1.2952361"
"18777921","An on-line replanning scheme for interfractional variations","Ahunbay EE, Peng C, Chen GP, Narayanan S, Yu C, Lawton C, Li XA.","Med Phys. 2008 Aug;35(8):3607-15. doi: 10.1118/1.2952443.","Ahunbay EE","Med Phys","2008","2008/09/10","","","10.1118/1.2952443"
"18777920","Noise considerations of three-point water-fat separation imaging methods","Wen Z, Reeder SB, Pineda AR, Pelc NJ.","Med Phys. 2008 Aug;35(8):3597-606. doi: 10.1118/1.2952644.","Wen Z","Med Phys","2008","2008/09/10","PMC2673650","","10.1118/1.2952644"
"18777919","Training models of anatomic shape variability","Merck D, Tracton G, Saboo R, Levy J, Chaney E, Pizer S, Joshi S.","Med Phys. 2008 Aug;35(8):3584-96. doi: 10.1118/1.2940188.","Merck D","Med Phys","2008","2008/09/10","PMC2809709","","10.1118/1.2940188"
"18777918","On-board four-dimensional digital tomosynthesis: first experimental results","Maurer J, Godfrey D, Wang Z, Yin FF.","Med Phys. 2008 Aug;35(8):3574-83. doi: 10.1118/1.2953561.","Maurer J","Med Phys","2008","2008/09/10","","","10.1118/1.2953561"
"18777917","Accuracy of TomoTherapy treatments for superficial target volumes","Cheek D, Gibbons JP, Rosen II, Hogstrom KR.","Med Phys. 2008 Aug;35(8):3565-73. doi: 10.1118/1.2952362.","Cheek D","Med Phys","2008","2008/09/10","","","10.1118/1.2952362"
"18777916","A fiducial detection algorithm for real-time image guided IMRT based on simultaneous MV and kV imaging","Mao W, Riaz N, Lee L, Wiersma R, Xing L.","Med Phys. 2008 Aug;35(8):3554-64. doi: 10.1118/1.2953563.","Mao W","Med Phys","2008","2008/09/10","PMC2809708","","10.1118/1.2953563"
"18777915","High performance computing for deformable image registration: towards a new paradigm in adaptive radiotherapy","Samant SS, Xia J, Muyan-Ozcelik P, Owens JD.","Med Phys. 2008 Aug;35(8):3546-53. doi: 10.1118/1.2948318.","Samant SS","Med Phys","2008","2008/09/10","","","10.1118/1.2948318"
"18777914","X-ray spectroscopy applied to radiation shielding calculation in mammography","Künzel R, Levenhagen RS, Herdade SB, Terini RA, Costa PR.","Med Phys. 2008 Aug;35(8):3539-45. doi: 10.1118/1.2953566.","Künzel R","Med Phys","2008","2008/09/10","","","10.1118/1.2953566"
"18777913","Wavelet method for CT colonography computer-aided polyp detection","Li J, Van Uitert R, Yao J, Petrick N, Franaszek M, Huang A, Summers RM.","Med Phys. 2008 Aug;35(8):3527-38. doi: 10.1118/1.2938517.","Li J","Med Phys","2008","2008/09/10","PMC2562642","NIHMS51540","10.1118/1.2938517"
"18777912","Photodynamic dose does not correlate with long-term tumor response to mTHPC-PDT performed at several drug-light intervals","Wang KK, Mitra S, Foster TH.","Med Phys. 2008 Aug;35(8):3518-26. doi: 10.1118/1.2952360.","Wang KK","Med Phys","2008","2008/09/10","PMC2562246","NIHMS65620","10.1118/1.2952360"
"18777911","Computerized tomography-based quality assurance tool for proton range compensators","Yoon M, Kim JS, Shin D, Park SY, Lee SB, Kim DY, Kim T, Shin KH, Cho KH.","Med Phys. 2008 Aug;35(8):3511-7. doi: 10.1118/1.2952645.","Yoon M","Med Phys","2008","2008/09/10","","","10.1118/1.2952645"
"18777910","On the uncertainties in effective dose estimates of adult CT head scans","Gregory KJ, Bibbo G, Pattison JE.","Med Phys. 2008 Aug;35(8):3501-10. doi: 10.1118/1.2952359.","Gregory KJ","Med Phys","2008","2008/09/10","","","10.1118/1.2952359"
"18777909","Monte Carlo calculation of helical tomotherapy dose delivery","Zhao YL, Mackenzie M, Kirkby C, Fallone BG.","Med Phys. 2008 Aug;35(8):3491-500. doi: 10.1118/1.2948409.","Zhao YL","Med Phys","2008","2008/09/10","","","10.1118/1.2948409"
"18777908","Feasibility of volume-of-interest (VOI) scanning technique in cone beam breast CT--a preliminary study","Chen L, Shaw CC, Altunbas MC, Lai CJ, Liu X, Han T, Wang T, Yang WT, Whitman GJ.","Med Phys. 2008 Aug;35(8):3482-90. doi: 10.1118/1.2948397.","Chen L","Med Phys","2008","2008/09/10","PMC2809707","","10.1118/1.2948397"
"18777907","A method to estimate dispersion in sampling catheters and to calculate dispersion-free blood time-activity curves","Munk OL, Keiding S, Bass L.","Med Phys. 2008 Aug;35(8):3471-81. doi: 10.1118/1.2948391.","Munk OL","Med Phys","2008","2008/09/10","PMC2673653","","10.1118/1.2948391"
"18777906","Effects of variation in perfusion rates and of perfusion models in computational models of radio frequency tumor ablation","Schutt DJ, Haemmerich D.","Med Phys. 2008 Aug;35(8):3462-70. doi: 10.1118/1.2948388.","Schutt DJ","Med Phys","2008","2008/09/10","PMC2673648","","10.1118/1.2948388"
"18777905","An automated CT based lung nodule detection scheme using geometric analysis of signed distance field","Pu J, Zheng B, Leader JK, Wang XH, Gur D.","Med Phys. 2008 Aug;35(8):3453-61. doi: 10.1118/1.2948349.","Pu J","Med Phys","2008","2008/09/10","PMC2673651","NIHMS105710","10.1118/1.2948349"
"18777904","Molecular imaging and the unification of multilevel mechanisms and data in medical physics","Nikiforidis GC, Sakellaropoulos GC, Kagadis GC.","Med Phys. 2008 Aug;35(8):3444-52. doi: 10.1118/1.2948321.","Nikiforidis GC","Med Phys","2008","2008/09/10","","","10.1118/1.2948321"
"18777903","Noninvasive vascular elastography for carotid artery characterization on subjects without previous history of atherosclerosis","Maurice RL, Soulez G, Giroux MF, Cloutier G.","Med Phys. 2008 Aug;35(8):3436-43. doi: 10.1118/1.2948320.","Maurice RL","Med Phys","2008","2008/09/10","","","10.1118/1.2948320"
"18777902","Bioengineering and Imaging Research Opportunities Workshop V: a white paper on imaging and characterizing structure and function in native and engineered tissues","Hendee W, Cleary K, Ehman R, Fullerton G, Grundfest W, Haller J, Kelley C, Meyer A, Murphy RF, Phillips W, Torchilin V.","Med Phys. 2008 Aug;35(8):3428-35. doi: 10.1118/1.2948317.","Hendee W","Med Phys","2008","2008/09/10","","","10.1118/1.2948317"
"18777901","Anniversary paper: the AAPM Professional Council--50th anniversary, 2008","Herman MG.","Med Phys. 2008 Aug;35(8):3422-7. doi: 10.1118/1.2948315.","Herman MG","Med Phys","2008","2008/09/10","","","10.1118/1.2948315"
"18777900","Point/counterpoint. The physics components of the ACR MRI Accreditation Program are overly tedious and beyond what is needed to ensure good patient care","Sobol WT, NessAiver MS, Orton CG.","Med Phys. 2008 Aug;35(8):3419-21. doi: 10.1118/1.2952358.","Sobol WT","Med Phys","2008","2008/09/10","","","10.1118/1.2952358"
"28525048","Erratum: ""A comprehensive mathematical model of microscopic dose deposition in photodynamic therapy"" [Med. Phys. 34, 282-293 (2007)]","Wang KK, Mitra S, Foster TH.","Med Phys. 2008 Sep;35(9):4278-4280. doi: 10.1118/1.2959704.","Wang KK","Med Phys","2008","2017/05/20","PMC2673661","","10.1118/1.2959704"
"18697564","Comment on ""Optimization of slice sensitivity profile for radiographic tomosynthesis"" [Med. Phys. 34, 2907-2916 (2007)]","Winslow J, Hintenlang DE.","Med Phys. 2008 Jul;35(7):3393-5. doi: 10.1118/1.2936774.","Winslow J","Med Phys","2008","2008/08/14","","","10.1118/1.2936774"
"18697563","Experimental derivation of the fluence non-uniformity correction for air kerma near brachytherapy linear sources","Vianello EA, deAlmeida CE.","Med Phys. 2008 Jul;35(7):3389-92. doi: 10.1118/1.2940160.","Vianello EA","Med Phys","2008","2008/08/14","","","10.1118/1.2940160"
"18697562","Feasibility and safety of outpatient brachytherapy in 37 patients with brain tumors using the GliaSite Radiation Therapy System","Chino K, Silvain D, Grace A, Stubbs J, Stea B.","Med Phys. 2008 Jul;35(7):3383-8. doi: 10.1118/1.2940602.","Chino K","Med Phys","2008","2008/08/14","","","10.1118/1.2940602"
"18697561","An improved algorithm for femoropopliteal artery centerline restoration using prior knowledge of shapes and image space data","Rakshe T, Fleischmann D, Rosenberg J, Roos JE, Straka M, Napel S.","Med Phys. 2008 Jul;35(7):3372-82. doi: 10.1118/1.2940194.","Rakshe T","Med Phys","2008","2008/08/14","PMC2673553","","10.1118/1.2940194"
"18697560","COMS eye plaque brachytherapy dosimetry simulations for 103Pd, 125I, and 131Cs","Melhus CS, Rivard MJ.","Med Phys. 2008 Jul;35(7):3364-71. doi: 10.1118/1.2940604.","Melhus CS","Med Phys","2008","2008/08/14","","","10.1118/1.2940604"
"18697559","Three-dimensional fluorescence-enhanced optical tomography using a hand-held probe based imaging system","Ge J, Zhu B, Regalado S, Godavarty A.","Med Phys. 2008 Jul;35(7):3354-63. doi: 10.1118/1.2940603.","Ge J","Med Phys","2008","2008/08/14","PMC2562618","NIHMS57088","10.1118/1.2940603"
"18697558","Sequential and simultaneous dual-isotope brain SPECT: comparison with PET for estimation and discrimination tasks in early Parkinson disease","Trott CM, El Fakhri G.","Med Phys. 2008 Jul;35(7):3343-53. doi: 10.1118/1.2940605.","Trott CM","Med Phys","2008","2008/08/14","PMC2673561","","10.1118/1.2940605"
"18697557","The development and testing of a digital PET phantom for the evaluation of tumor volume segmentation techniques","Aristophanous M, Penney BC, Pelizzari CA.","Med Phys. 2008 Jul;35(7):3331-42. doi: 10.1118/1.2938518.","Aristophanous M","Med Phys","2008","2008/08/14","","","10.1118/1.2938518"
"18697556","Influence of focal spot on characteristics of very small diameter radiosurgical beams","Sham E, Seuntjens J, Devic S, Podgorsak EB.","Med Phys. 2008 Jul;35(7):3317-30. doi: 10.1118/1.2936335.","Sham E","Med Phys","2008","2008/08/14","","","10.1118/1.2936335"
"18697555","Using flow information to support 3D vessel reconstruction from rotational angiography","Waechter I, Bredno J, Weese J, Barratt DC, Hawkes DJ.","Med Phys. 2008 Jul;35(7):3302-16. doi: 10.1118/1.2938729.","Waechter I","Med Phys","2008","2008/08/14","","","10.1118/1.2938729"
"18697554","Response to high-energy photons of PTW31014 PinPoint ion chamber with a central aluminum electrode","Agostinelli S, Garelli S, Piergentili M, Foppiano F.","Med Phys. 2008 Jul;35(7):3293-301. doi: 10.1118/1.2940190.","Agostinelli S","Med Phys","2008","2008/08/14","","","10.1118/1.2940190"
"18697553","On the production of neutrons in laminated barriers for 10 MV medical accelerator rooms","Facure A, da Silva AX, da Rosa LA, Cardoso SC, Rezende GF.","Med Phys. 2008 Jul;35(7):3285-92. doi: 10.1118/1.2940192.","Facure A","Med Phys","2008","2008/08/14","","","10.1118/1.2940192"
"18697552","Integration of SimSET photon history generator in GATE for efficient Monte Carlo simulations of pinhole SPECT","Chen CL, Wang Y, Lee JJ, Tsui BM.","Med Phys. 2008 Jul;35(7):3278-84. doi: 10.1118/1.2940159.","Chen CL","Med Phys","2008","2008/08/14","PMC2809718","","10.1118/1.2940159"
"18697551","Structure-analysis method for electronic cleansing in cathartic and noncathartic CT colonography","Cai W, Zalis ME, Näppi J, Harris GJ, Yoshida H.","Med Phys. 2008 Jul;35(7):3259-77. doi: 10.1118/1.2936413.","Cai W","Med Phys","2008","2008/08/14","PMC2809717","","10.1118/1.2936413"
"18697550","Dose distribution of a 125 keV mean energy microplanar x-ray beam for basic studies on microbeam radiotherapy","Ohno Y, Torikoshi M, Suzuki M, Umetani K, Imai Y, Uesugi K, Yagi N.","Med Phys. 2008 Jul;35(7):3252-8. doi: 10.1118/1.2940157.","Ohno Y","Med Phys","2008","2008/08/14","","","10.1118/1.2940157"
"18697549","A motion-compensated scheme for helical cone-beam reconstruction in cardiac CT angiography","van Stevendaal U, von Berg J, Lorenz C, Grass M.","Med Phys. 2008 Jul;35(7):3239-51. doi: 10.1118/1.2938733.","van Stevendaal U","Med Phys","2008","2008/08/14","","","10.1118/1.2938733"
"18697548","Minimization of over-ranging in helical volumetric CT via hybrid cone beam image reconstruction--benefits in dose efficiency","Tang X, Hsieh J, Dong F, Fan J, Toth TL.","Med Phys. 2008 Jul;35(7):3232-8. doi: 10.1118/1.2936336.","Tang X","Med Phys","2008","2008/08/14","","","10.1118/1.2936336"
"18697547","A novel method for estimating SBRT delivered dose with beam's-eye-view images","Berbeco RI, Hacker F, Zatwarnicki C, Park SJ, Ionascu D, O'Farrell D, Mamon HJ.","Med Phys. 2008 Jul;35(7):3225-31. doi: 10.1118/1.2938514.","Berbeco RI","Med Phys","2008","2008/08/14","","","10.1118/1.2938514"
"18697546","SAF values for internal photon emitters calculated for the RPI-P pregnant-female models using Monte Carlo methods","Shi CY, Xu XG, Stabin MG.","Med Phys. 2008 Jul;35(7):3215-24. doi: 10.1118/1.2936414.","Shi CY","Med Phys","2008","2008/08/14","PMC2809716","","10.1118/1.2936414"
"18697545","Effects of acoustic heterogeneities on transcranial brain imaging with microwave-induced thermoacoustic tomography","Jin X, Li C, Wang LV.","Med Phys. 2008 Jul;35(7):3205-14. doi: 10.1118/1.2938731.","Jin X","Med Phys","2008","2008/08/14","PMC2664839","NIHMS95667","10.1118/1.2938731"
"18697544","Fundamental x-ray interaction limits in diagnostic imaging detectors: frequency-dependent Swank noise","Hajdok G, Battista JJ, Cunningham IA.","Med Phys. 2008 Jul;35(7):3194-204. doi: 10.1118/1.2936412.","Hajdok G","Med Phys","2008","2008/08/14","","","10.1118/1.2936412"
"18697543","Fundamental x-ray interaction limits in diagnostic imaging detectors: spatial resolution","Hajdok G, Battista JJ, Cunningham IA.","Med Phys. 2008 Jul;35(7):3180-93. doi: 10.1118/1.2924219.","Hajdok G","Med Phys","2008","2008/08/14","","","10.1118/1.2924219"
"18697542","Assessment of bone tissue mineralization by conventional x-ray microcomputed tomography: comparison with synchrotron radiation microcomputed tomography and ash measurements","Kazakia GJ, Burghardt AJ, Cheung S, Majumdar S.","Med Phys. 2008 Jul;35(7):3170-9. doi: 10.1118/1.2924210.","Kazakia GJ","Med Phys","2008","2008/08/14","PMC2673562","","10.1118/1.2924210"
"18697541","Simulation of ultrasound two-dimensional array transducers using a frequency domain model","Rao M, Varghese T, Zagzebski JA.","Med Phys. 2008 Jul;35(7):3162-9. doi: 10.1118/1.2940158.","Rao M","Med Phys","2008","2008/08/14","","","10.1118/1.2940158"
"18697540","SAPHIRE (scintillator avalanche photoconductor with high resolution emitter readout) for low dose x-ray imaging: spatial resolution","Li D, Zhao W.","Med Phys. 2008 Jul;35(7):3151-61. doi: 10.1118/1.2937652.","Li D","Med Phys","2008","2008/08/14","PMC2673563","","10.1118/1.2937652"
"18697539","Incorporating geometric ray tracing to generate initial conditions for intensity modulated arc therapy optimization","Oliver M, Gladwish A, Craig J, Chen J, Wong E.","Med Phys. 2008 Jul;35(7):3137-50. doi: 10.1118/1.2937650.","Oliver M","Med Phys","2008","2008/08/14","","","10.1118/1.2937650"
"18697538","The role of photodynamic therapy (PDT) physics","Zhu TC, Finlay JC.","Med Phys. 2008 Jul;35(7):3127-36. doi: 10.1118/1.2937440.","Zhu TC","Med Phys","2008","2008/08/14","PMC2673560","","10.1118/1.2937440"
"18697537","Performance evaluation of different implementations of the Lagrangian speckle model estimator for non-invasive vascular ultrasound elastography","Mercure E, Cloutier G, Schmitt C, Maurice RL.","Med Phys. 2008 Jul;35(7):3116-26. doi: 10.1118/1.2936771.","Mercure E","Med Phys","2008","2008/08/14","","","10.1118/1.2936771"
"18697536","A novel digital tomosynthesis (DTS) reconstruction method using a deformation field map","Ren L, Zhang J, Thongphiew D, Godfrey DJ, Wu QJ, Zhou SM, Yin FF.","Med Phys. 2008 Jul;35(7):3110-5. doi: 10.1118/1.2940725.","Ren L","Med Phys","2008","2008/08/14","PMC2809715","","10.1118/1.2940725"
"18697535","DCEMRI of breast lesions: is kinetic analysis equally effective for both mass and nonmass-like enhancement?","Jansen SA, Fan X, Karczmar GS, Abe H, Schmidt RA, Giger M, Newstead GM.","Med Phys. 2008 Jul;35(7):3102-9. doi: 10.1118/1.2936220.","Jansen SA","Med Phys","2008","2008/08/14","PMC2673559","","10.1118/1.2936220"
"18697534","GafChromic EBT film dosimetry with flatbed CCD scanner: a novel background correction method and full dose uncertainty analysis","Saur S, Frengen J.","Med Phys. 2008 Jul;35(7):3094-101. doi: 10.1118/1.2938522.","Saur S","Med Phys","2008","2008/08/14","","","10.1118/1.2938522"
"18697533","Time-of-flight sensor for respiratory motion gating","Schaller C, Penne J, Hornegger J.","Med Phys. 2008 Jul;35(7):3090-3. doi: 10.1118/1.2938521.","Schaller C","Med Phys","2008","2008/08/14","","","10.1118/1.2938521"
"18697532","Quantitative accuracy of PET/CT for image-based kinetic analysis","Seo Y, Teo BK, Hadi M, Schreck C, Bacharach SL, Hasegawa BH.","Med Phys. 2008 Jul;35(7):3086-9. doi: 10.1118/1.2937439.","Seo Y","Med Phys","2008","2008/08/14","PMC2809714","","10.1118/1.2937439"
"18697531","Radiochromic film dosimetry with flatbed scanners: a fast and accurate method for dose calibration and uniformity correction with single film exposure","Menegotti L, Delana A, Martignano A.","Med Phys. 2008 Jul;35(7):3078-85. doi: 10.1118/1.2936334.","Menegotti L","Med Phys","2008","2008/08/14","","","10.1118/1.2936334"
"18697530","3T MRI evaluation of the accuracy of atlas-based subthalamic nucleus identification","Stancanello J, Muacevic A, Sebastiano F, Modugno N, Cerveri P, Ferrigno G, Uggeri F, Romanelli P.","Med Phys. 2008 Jul;35(7):3069-77. doi: 10.1118/1.2936229.","Stancanello J","Med Phys","2008","2008/08/14","","","10.1118/1.2936229"
"18697529","Targeted radionuclide therapy","Williams LE, DeNardo GL, Meredith RF.","Med Phys. 2008 Jul;35(7):3062-8. doi: 10.1118/1.2938520.","Williams LE","Med Phys","2008","2008/08/14","PMC2673558","","10.1118/1.2938520"
"18697528","A feasibility study to calculate unshielded fetal doses to pregnant patients in 6-MV photon treatments using Monte Carlo methods and anatomically realistic phantoms","Bednarz B, Xu XG.","Med Phys. 2008 Jul;35(7):3054-61. doi: 10.1118/1.2938519.","Bednarz B","Med Phys","2008","2008/08/14","PMC2809713","","10.1118/1.2938519"
"18697527","Long-term activation in a 15 MeV radiotherapy accelerator","Brusa A, Cesana A, Stucchi C, Terrani M, Zanellati F.","Med Phys. 2008 Jul;35(7):3049-53. doi: 10.1118/1.2936223.","Brusa A","Med Phys","2008","2008/08/14","","","10.1118/1.2936223"
"18697526","Detection of breast abnormalities using a prototype resonance electrical impedance spectroscopy system: a preliminary study","Zheng B, Zuley ML, Sumkin JH, Catullo VJ, Abrams GS, Rathfon GY, Chough DM, Gruss MZ, Gur D.","Med Phys. 2008 Jul;35(7):3041-8. doi: 10.1118/1.2936221.","Zheng B","Med Phys","2008","2008/08/14","PMC2673557","","10.1118/1.2936221"
"18697525","Exact reconstruction of volumetric images in reverse helical cone-beam CT","Cho S, Xia D, Pelizzari CA, Pan X.","Med Phys. 2008 Jul;35(7):3030-40. doi: 10.1118/1.2936219.","Cho S","Med Phys","2008","2008/08/14","PMC2673556","","10.1118/1.2936219"
"18697524","Anniversary paper: nuclear medicine: fifty years and still counting","Williams LE.","Med Phys. 2008 Jul;35(7):3020-9. doi: 10.1118/1.2936217.","Williams LE","Med Phys","2008","2008/08/14","PMC2673554","","10.1118/1.2936217"
"18697523","Point/counterpoint. Despite widespread use there is no convincing evidence that static magnets are effective for the relief of pain","Pittler MH, Harlow T, Orton CG.","Med Phys. 2008 Jul;35(7):3017-9. doi: 10.1118/1.2901092.","Pittler MH","Med Phys","2008","2008/08/14","","","10.1118/1.2901092"
"28525031","A Statement of the Rights of Scientists and Engineers","Hendee W.","Med Phys. 2008 Aug;35(8):3820. doi: 10.1118/1.2956709.","Hendee W","Med Phys","2008","2017/05/20","","","10.1118/1.2956709"
"28525025","The origin of Medical Physics","Adams G.","Med Phys. 2008 Aug;35(8):3821. doi: 10.1118/1.2952357.","Adams G","Med Phys","2008","2017/05/20","","","10.1118/1.2952357"
"18649489","We need to bridge the gap between current practice in mathematical modeling and new insights obtained from radiobiology: comment on Zhou et al. [Med. Phys. 34, 2807-2815 (2007)]","van Luijk P, Schippers JM.","Med Phys. 2008 Jun;35(6):2558-9; author reply 2560. doi: 10.1118/1.2912365.","van Luijk P","Med Phys","2008","2008/07/25","","","10.1118/1.2912365"
"18649488","Digital tomosynthesis of the chest for lung nodule detection: interim sensitivity results from an ongoing NIH-sponsored trial","James TD, McAdams HP, Song JW, Li CM, Godfrey DJ, DeLong DM, Paik SH, Martinez-Jimenez S.","Med Phys. 2008 Jun;35(6):2554-7. doi: 10.1118/1.2937277.","James TD","Med Phys","2008","2008/07/25","PMC2673631","","10.1118/1.2937277"
"18649487","Quantitative image quality evaluation of MR images using perceptual difference models","Miao J, Huo D, Wilson DL.","Med Phys. 2008 Jun;35(6):2541-53. doi: 10.1118/1.2903207.","Miao J","Med Phys","2008","2008/07/25","PMC2673629","","10.1118/1.2903207"
"18649486","Robust surface registration using salient anatomical features for image-guided liver surgery: algorithm and validation","Clements LW, Chapman WC, Dawant BM, Galloway RL Jr, Miga MI.","Med Phys. 2008 Jun;35(6):2528-40. doi: 10.1118/1.2911920.","Clements LW","Med Phys","2008","2008/07/25","PMC2809726","","10.1118/1.2911920"
"18649485","Dosimetry in an IMRT phantom designed for a remote monitoring program","Han Y, Shin EH, Lim C, Kang SK, Park SH, Lah JE, Suh TS, Yoon M, Lee SB, Cho SH, Ibbott GS, Ju SG, Ahn YC.","Med Phys. 2008 Jun;35(6):2519-27. doi: 10.1118/1.2903440.","Han Y","Med Phys","2008","2008/07/25","","","10.1118/1.2903440"
"18649484","Evaluation of linear accelerator performance standards using an outcome oriented approach","Rangel A, Ploquin N, Kay I, Dunscombe P.","Med Phys. 2008 Jun;35(6):2513-8. doi: 10.1118/1.2921833.","Rangel A","Med Phys","2008","2008/07/25","","","10.1118/1.2921833"
"18649483","Vision 20/20: increased image resolution versus reduced radiation exposure","Ritman EL.","Med Phys. 2008 Jun;35(6):2502-12. doi: 10.1118/1.2919112.","Ritman EL","Med Phys","2008","2008/07/25","","","10.1118/1.2919112"
"18649482","Noninvasive in vivo tomographic optical imaging of cellular morphology in the breast: possible convergence of microscopic pathology and macroscopic radiology","Li C, Grobmyer SR, Massol N, Liang X, Zhang Q, Chen L, Fajardo LL, Jiang H.","Med Phys. 2008 Jun;35(6):2493-501. doi: 10.1118/1.2921129.","Li C","Med Phys","2008","2008/07/25","PMC2673633","","10.1118/1.2921129"
"18649481","Experimental evaluation of an online gamma-camera imaging of permanent seed implantation (OGIPSI) prototype for partial breast irradiation","Ravi A, Caldwell CB, Pignol JP.","Med Phys. 2008 Jun;35(6):2485-92. doi: 10.1118/1.2919559.","Ravi A","Med Phys","2008","2008/07/25","","","10.1118/1.2919559"
"18649480","A moving slanted-edge method to measure the temporal modulation transfer function of fluoroscopic systems","Friedman SN, Cunningham IA.","Med Phys. 2008 Jun;35(6):2473-84. doi: 10.1118/1.2919724.","Friedman SN","Med Phys","2008","2008/07/25","","","10.1118/1.2919724"
"18649479","Proximal femur segmentation in conventional pelvic x ray","Pilgram R, Walch C, Kuhn V, Schubert R, Staudinger R.","Med Phys. 2008 Jun;35(6):2463-72. doi: 10.1118/1.2919096.","Pilgram R","Med Phys","2008","2008/07/25","","","10.1118/1.2919096"
"18649478","Focused beam-stop array for the measurement of scatter in megavoltage portal and cone beam CT imaging","Maltz JS, Gangadharan B, Vidal M, Paidi A, Bose S, Faddegon BA, Aubin M, Morin O, Pouliot J, Zheng Z, Svatos MM, Bani-Hashemi AR.","Med Phys. 2008 Jun;35(6):2452-62. doi: 10.1118/1.2924220.","Maltz JS","Med Phys","2008","2008/07/25","","","10.1118/1.2924220"
"18649477","Assessing the future of diffuse optical imaging technologies for breast cancer management","Tromberg BJ, Pogue BW, Paulsen KD, Yodh AG, Boas DA, Cerussi AE.","Med Phys. 2008 Jun;35(6):2443-51. doi: 10.1118/1.2919078.","Tromberg BJ","Med Phys","2008","2008/07/25","PMC2809725","","10.1118/1.2919078"
"18649476","Radio-frequency ablation electrode displacement elastography: a phantom study","Bharat S, Varghese T, Madsen EL, Zagzebski JA.","Med Phys. 2008 Jun;35(6):2432-42. doi: 10.1118/1.2919763.","Bharat S","Med Phys","2008","2008/07/25","PMC2673634","","10.1118/1.2919763"
"18649475","Monte Carlo evaluation of CTD(infinity) in infinitely long cylinders of water, polyethylene and PMMA with diameters from 10 mm to 500 mm","Zhou H, Boone JM.","Med Phys. 2008 Jun;35(6):2424-31. doi: 10.1118/1.2921829.","Zhou H","Med Phys","2008","2008/07/25","PMC2809724","","10.1118/1.2921829"
"18649474","Optimization of exposure parameters in full field digital mammography","Williams MB, Raghunathan P, More MJ, Seibert JA, Kwan A, Lo JY, Samei E, Ranger NT, Fajardo LL, McGruder A, McGruder SM, Maidment AD, Yaffe MJ, Bloomquist A, Mawdsley GE.","Med Phys. 2008 Jun;35(6):2414-23. doi: 10.1118/1.2912177.","Williams MB","Med Phys","2008","2008/07/25","PMC2809723","","10.1118/1.2912177"
"18649473","3D ultrasound for prostate localization in radiation therapy: a comparison with implanted fiducial markers","Johnston H, Hilts M, Beckham W, Berthelet E.","Med Phys. 2008 Jun;35(6):2403-13. doi: 10.1118/1.2924208.","Johnston H","Med Phys","2008","2008/07/25","","","10.1118/1.2924208"
"18649472","Scatter rejection and low-contrast performance of a slot-scan digital chest radiography system with electronic aft-collimation: a chest phantom study","Liu X, Shaw CC, Lai CJ, Altunbas MC, Chen L, Han T, Wang T.","Med Phys. 2008 Jun;35(6):2391-402. doi: 10.1118/1.2921132.","Liu X","Med Phys","2008","2008/07/25","PMC2809722","","10.1118/1.2921132"
"18649471","Monte Carlo simulation of MOSFET dosimeter for electron backscatter using the GEANT4 code","Chow JC, Leung MK.","Med Phys. 2008 Jun;35(6):2383-90. doi: 10.1118/1.2924221.","Chow JC","Med Phys","2008","2008/07/25","","","10.1118/1.2924221"
"18649470","Hybrid computational phantoms of the 15-year male and female adolescent: applications to CT organ dosimetry for patients of variable morphometry","Lee C, Lodwick D, Williams JL, Bolch WE.","Med Phys. 2008 Jun;35(6):2366-82. doi: 10.1118/1.2912178.","Lee C","Med Phys","2008","2008/07/25","PMC2809721","","10.1118/1.2912178"
"18649469","On the accuracy of a moving average algorithm for target tracking during radiation therapy treatment delivery","George R, Suh Y, Murphy M, Williamson J, Weiss E, Keall P.","Med Phys. 2008 Jun;35(6):2356-65. doi: 10.1118/1.2921131.","George R","Med Phys","2008","2008/07/25","PMC2809720","","10.1118/1.2921131"
"18649468","MLC quality assurance using EPID: a fitting technique with subpixel precision","Mamalui-Hunter M, Li H, Low DA.","Med Phys. 2008 Jun;35(6):2347-55. doi: 10.1118/1.2919560.","Mamalui-Hunter M","Med Phys","2008","2008/07/25","","","10.1118/1.2919560"
